,CityState,University,Uni CityState,Distance,Closest,City,City Lat,City Lng,Distance_Text,State,Time,Time_Text,Uni Lat,Uni Lng,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,Impressions,CPC,CTR,Cost
1,"ABBEVILLE, AL",GTECH,"ATLANTA, GA",157.537625606406,1,ABBEVILLE,31.595148,-85.208852,184 mi,AL,11089.0,3 hours 5 mins,33.7756178,-84.396285,6470.0,4064.0,2274.0,0.0,0.0,96.0,66.0,1414.0,306.0,294.0,346.0,190.0,34.0,14.0,1363.0,2434.0,222.0,68.0,7.0,50.1,45.3,52.4,33944.0,20104.0,516.0,78100.0,0.23,2.45,0.04,0.02
2,"ABBEVILLE, GA",GTECH,"SAVANNAH, GA",131.676818199077,1,ABBEVILLE,31.976256,-83.339665,155 mi,GA,9231.0,2 hours 34 mins,32.0835,-81.0998,4719.0,2676.0,1903.0,0.0,41.0,89.0,55.0,1059.0,798.0,96.0,181.0,63.0,0.0,0.0,689.0,987.0,58.0,40.0,0.0,39.3,38.2,45.8,29200.0,10071.0,435.0,58400.0,,,,
5,"ABBEVILLE, SC",GTECH,"ATLANTA, GA",116.574634491178,1,ABBEVILLE,34.182407,-82.425607,146 mi,SC,9410.0,2 hours 37 mins,33.7756178,-84.396285,13005.0,8475.0,4410.0,6.0,0.0,108.0,97.0,2867.0,519.0,660.0,752.0,228.0,80.0,16.0,3382.0,5217.0,579.0,47.0,22.0,43.0,40.1,44.9,32423.0,17810.0,488.0,94900.0,0.23,13.23,0.042,0.13
59,"ACWORTH, GA",GTECH,"ATLANTA, GA",25.7768582055182,1,ACWORTH,34.0723555,-84.669353,29.5 mi,GA,3498.0,58 mins,33.7756178,-84.396285,94660.0,73829.0,13420.0,510.0,2076.0,8843.0,479.0,12386.0,2634.0,4584.0,14169.0,5042.0,877.0,500.0,9444.0,50946.0,4608.0,2552.0,662.0,36.75,36.0,37.75,68384.5,29153.0,1025.0,167450.0,11.6,16.77,0.033,6.25
70,"ADAIRSVILLE, GA",GTECH,"ATLANTA, GA",50.5133923758303,1,ADAIRSVILLE,34.366336,-84.917546,58.0 mi,GA,4959.0,1 hour 23 mins,33.7756178,-84.396285,16358.0,14266.0,1508.0,118.0,77.0,694.0,241.0,2882.0,841.0,964.0,932.0,171.0,104.0,70.0,2752.0,7678.0,703.0,160.0,0.0,36.5,38.2,35.8,47106.0,19809.0,753.0,110800.0,1.14,57.82,0.045,2.88
74,"ADAMS RUN, SC",GTECH,"SAVANNAH, GA",65.0676259318427,1,ADAMS RUN,32.797192,-80.370638,85.6 mi,SC,5150.0,1 hour 26 mins,32.0835,-81.0998,1426.0,615.0,776.0,35.0,0.0,11.0,60.0,390.0,39.0,38.0,105.0,44.0,9.0,0.0,500.0,716.0,71.0,0.0,0.0,50.0,45.6,51.3,31515.0,21656.0,864.0,122300.0,,,,
88,"ADAMSVILLE, AL",GTECH,"ATLANTA, GA",150.558337494208,1,ADAMSVILLE,33.59595,-87.000649,166 mi,AL,9751.0,2 hours 43 mins,33.7756178,-84.396285,7687.0,4426.0,2797.0,2.0,21.0,487.0,62.0,1586.0,383.0,342.0,451.0,210.0,13.0,60.0,1830.0,3427.0,481.0,29.0,9.0,40.0,34.8,46.6,42949.0,20505.0,795.0,91700.0,,,,
106,"ADEL, GA",GTECH,"ATLANTA, GA",191.603949340176,1,ADEL,31.117296,-83.434236,207 mi,GA,10934.0,3 hours 2 mins,33.7756178,-84.396285,10227.0,7234.0,2891.0,34.0,0.0,580.0,145.0,2348.0,246.0,415.0,670.0,248.0,118.0,49.0,2292.0,4631.0,276.0,70.0,0.0,38.1,35.9,38.8,39759.0,21175.0,681.0,105800.0,,,,
113,"ADGER, AL",GTECH,"ATLANTA, GA",164.067767450233,1,ADGER,33.422765,-87.20973,183 mi,AL,10908.0,3 hours 2 mins,33.7756178,-84.396285,3201.0,3039.0,134.0,16.0,0.0,18.0,0.0,760.0,196.0,226.0,149.0,54.0,0.0,19.0,383.0,1348.0,144.0,6.0,7.0,42.8,40.2,48.0,44663.0,20080.0,705.0,86500.0,,,,
120,"ADRIAN, GA",GTECH,"SAVANNAH, GA",93.3175158482366,1,ADRIAN,32.554049,-82.595322,102 mi,GA,5628.0,1 hour 34 mins,32.0835,-81.0998,2639.0,2291.0,312.0,0.0,0.0,8.0,31.0,626.0,158.0,116.0,84.0,23.0,2.0,8.0,511.0,1179.0,127.0,6.0,5.0,43.7,42.6,46.5,42300.0,24577.0,445.0,66100.0,,,,
159,"AIKEN, SC",GTECH,"SAVANNAH, GA",108.368825163818,1,AIKEN,33.575638,-81.6879773333333,126 mi,SC,8718.0,2 hours 25 mins,32.0835,-81.0998,70106.0,47674.0,19292.0,161.0,797.0,2232.0,463.0,11456.0,2072.0,3491.0,9633.0,4934.0,898.0,920.0,10013.0,32270.0,2802.0,1881.0,645.0,43.5,42.6333333333333,44.1,52874.6666666667,27581.6666666667,724.333333333333,138800.0,3.68,11.93,0.029,1.26
160,"AILEY, GA",GTECH,"SAVANNAH, GA",83.1963751627719,1,AILEY,32.188589,-82.51347,96.3 mi,GA,5727.0,1 hour 35 mins,32.0835,-81.0998,1879.0,1368.0,468.0,7.0,0.0,177.0,20.0,416.0,53.0,95.0,120.0,75.0,39.0,5.0,417.0,790.0,46.0,8.0,3.0,42.2,41.1,42.8,43158.0,21020.0,713.0,93700.0,,,,
170,"AKRON, AL",GTECH,"ATLANTA, GA",204.216125952507,1,AKRON,32.852762,-87.750329,,AL,,,33.7756178,-84.396285,1067.0,526.0,541.0,0.0,0.0,0.0,23.0,280.0,41.0,34.0,95.0,24.0,0.0,6.0,256.0,429.0,18.0,6.0,0.0,42.3,40.8,43.9,32955.0,20493.0,611.0,105400.0,,,,
179,"ALABASTER, AL",GTECH,"ATLANTA, GA",143.927284496548,1,ALABASTER,33.215623,-86.797656,166 mi,AL,9164.0,2 hours 33 mins,33.7756178,-84.396285,26499.0,19814.0,3473.0,15.0,91.0,3628.0,191.0,3872.0,606.0,1495.0,3271.0,1323.0,192.0,107.0,3320.0,13469.0,715.0,615.0,118.0,36.2,36.2,36.2,65649.0,24701.0,931.0,157400.0,0.92,11.08,0.052,0.52
185,"ALAMO, GA",GTECH,"SAVANNAH, GA",99.4298886762656,1,ALAMO,32.128124,-82.79438,120 mi,GA,6881.0,1 hour 55 mins,32.0835,-81.0998,5221.0,2549.0,2672.0,0.0,0.0,165.0,0.0,1213.0,1045.0,272.0,83.0,49.0,12.0,0.0,382.0,631.0,33.0,0.0,0.0,37.3,36.1,47.2,30469.0,5328.0,502.0,51000.0,0.23,16.63,0.036,0.13
195,"ALAPAHA, GA",GTECH,"SAVANNAH, GA",132.440156616825,1,ALAPAHA,31.378501,-83.192225,180 mi,GA,11036.0,3 hours 4 mins,32.0835,-81.0998,2221.0,1482.0,532.0,13.0,6.0,182.0,14.0,489.0,48.0,196.0,51.0,40.0,2.0,0.0,456.0,814.0,63.0,34.0,0.0,35.9,35.2,36.6,38814.0,17194.0,425.0,74000.0,,,,
200,"ALBANY, GA",GTECH,"ATLANTA, GA",154.207578310304,1,ALBANY,31.545441,-84.177513,190 mi,GA,10748.0,2 hours 59 mins,33.7756178,-84.396285,100118.0,33074.0,63673.0,111.0,729.0,2826.0,1012.0,15388.0,3269.0,4091.0,7027.0,3126.0,1062.0,647.0,28621.0,45177.0,7866.0,695.0,279.0,34.85,33.3,36.475,35947.0,20016.75,717.75,104225.0,5.69,8.89,0.031,1.52
219,"ALBERTA, AL",GTECH,"ATLANTA, GA",204.329196059837,1,ALBERTA,32.158196,-87.344594,,AL,,,33.7756178,-84.396285,731.0,28.0,703.0,0.0,0.0,0.0,11.0,83.0,0.0,28.0,40.0,6.0,4.0,0.0,442.0,87.0,16.0,0.0,0.0,42.4,27.6,54.2,16406.0,7970.0,738.0,55900.0,,,,
226,"ALBERTVILLE, AL",GTECH,"ATLANTA, GA",110.135731834053,1,ALBERTVILLE,34.294424,-86.211697,142 mi,AL,10078.0,2 hours 48 mins,33.7756178,-84.396285,33168.0,29837.0,501.0,89.0,12.0,7574.0,941.0,5592.0,1556.0,1477.0,1567.0,541.0,133.0,51.0,8828.0,14141.0,923.0,220.0,38.0,35.9,35.1,36.7,32565.5,18567.0,621.0,100800.0,1.61,10.09,0.053,0.85
254,"ALCOLU, SC",GTECH,"SAVANNAH, GA",129.106886455006,1,ALCOLU,33.786644,-80.174065,141 mi,SC,7618.0,2 hours 7 mins,32.0835,-81.0998,1959.0,947.0,835.0,8.0,23.0,165.0,35.0,374.0,47.0,119.0,98.0,33.0,11.0,0.0,444.0,804.0,179.0,0.0,0.0,43.8,48.0,39.0,35238.0,18845.0,428.0,80800.0,,,,
275,"ALEXANDER CITY, AL",GTECH,"ATLANTA, GA",107.154725978376,1,ALEXANDER CITY,32.916719,-85.940589,136 mi,AL,8384.0,2 hours 20 mins,33.7756178,-84.396285,21153.0,13220.0,7125.0,85.0,11.0,1004.0,252.0,3813.0,789.0,1152.0,1619.0,473.0,153.0,76.0,5211.0,8878.0,939.0,159.0,120.0,40.0,41.5,39.6,33761.0,19295.0,572.0,98300.0,0.23,0.83,0.081,0.02
285,"ALEXANDRIA, AL",GTECH,"ATLANTA, GA",86.6178296046052,1,ALEXANDRIA,33.765322,-85.901096,103 mi,AL,6500.0,1 hour 48 mins,33.7756178,-84.396285,4770.0,4521.0,249.0,0.0,0.0,65.0,0.0,838.0,206.0,570.0,496.0,82.0,66.0,14.0,529.0,2386.0,293.0,15.0,33.0,40.2,40.9,39.2,54375.0,24341.0,680.0,120500.0,,,,
315,"ALICEVILLE, AL",GTECH,"ATLANTA, GA",225.155127325687,1,ALICEVILLE,33.077211,-88.202696,,AL,,,33.7756178,-84.396285,5515.0,1118.0,4231.0,0.0,12.0,196.0,183.0,1290.0,102.0,204.0,297.0,57.0,0.0,4.0,1815.0,1861.0,345.0,27.0,4.0,38.6,31.6,41.2,22202.0,12790.0,469.0,79800.0,,,,
344,"ALLENDALE, SC",GTECH,"SAVANNAH, GA",64.3005160523698,1,ALLENDALE,32.986368,-81.37811,76.5 mi,SC,5193.0,1 hour 27 mins,32.0835,-81.0998,4666.0,652.0,3891.0,0.0,0.0,123.0,0.0,1032.0,95.0,196.0,362.0,63.0,0.0,0.0,1398.0,2133.0,616.0,0.0,0.0,37.3,32.5,44.3,22737.0,12764.0,529.0,58400.0,,,,
345,"ALLENHURST, GA",GTECH,"SAVANNAH, GA",37.3933878998048,1,ALLENHURST,31.750629,-81.60235,46.8 mi,GA,3666.0,1 hour 1 min,32.0835,-81.0998,4432.0,1626.0,2393.0,23.0,9.0,397.0,0.0,587.0,214.0,164.0,259.0,110.0,22.0,19.0,920.0,2074.0,287.0,6.0,33.0,26.8,26.7,26.8,41230.0,20074.0,727.0,117800.0,,,,
353,"ALLENTOWN, GA",GTECH,"ATLANTA, GA",105.822243275243,1,ALLENTOWN,32.606281,-83.212516,120 mi,GA,6957.0,1 hour 56 mins,33.7756178,-84.396285,154.0,127.0,27.0,0.0,0.0,0.0,0.0,55.0,3.0,8.0,12.0,11.0,4.0,2.0,32.0,59.0,8.0,0.0,0.0,52.0,49.8,55.1,29625.0,18507.0,,67900.0,,,,
363,"ALLGOOD, AL",GTECH,"ATLANTA, GA",122.323334982272,1,ALLGOOD,33.902168,-86.517777,155 mi,AL,9499.0,2 hours 38 mins,33.7756178,-84.396285,54.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,10.0,0.0,0.0,0.0,46.5,46.5,,,,,,,,,
382,"ALMA, GA",GTECH,"SAVANNAH, GA",87.163229446914,1,ALMA,31.545485,-82.440693,112 mi,GA,7419.0,2 hours 4 mins,32.0835,-81.0998,10335.0,7853.0,1672.0,0.0,137.0,855.0,94.0,2213.0,433.0,509.0,514.0,245.0,45.0,26.0,1758.0,4457.0,197.0,74.0,11.0,36.6,34.7,38.0,38117.0,18480.0,584.0,63700.0,0.23,9.95,0.024,0.05
397,"ALMOND, NC",GTECH,"ATLANTA, GA",121.065709619054,1,ALMOND,35.405602,-83.605242,161 mi,NC,10982.0,3 hours 3 mins,33.7756178,-84.396285,669.0,669.0,0.0,0.0,0.0,0.0,0.0,106.0,13.0,0.0,118.0,8.0,17.0,0.0,130.0,279.0,11.0,0.0,0.0,45.4,41.5,46.4,51518.0,31947.0,744.0,164100.0,,,,
414,"ALPHARETTA, GA",GTECH,"ATLANTA, GA",22.7057975172773,1,ALPHARETTA,34.0859035,-84.2635,24.9 mi,GA,4083.0,1 hour 8 mins,33.7756178,-84.396285,182149.0,127852.0,19115.0,462.0,27134.0,15409.0,668.0,12159.0,1306.0,8067.0,46720.0,19980.0,3788.0,2337.0,9629.0,95199.0,5432.0,8362.0,2540.0,37.5,36.325,39.05,95150.5,45076.5,1206.5,319875.0,4.78,15.53,0.039,2.79
415,"ALPINE, AL",GTECH,"ATLANTA, GA",111.443655755888,1,ALPINE,33.355851,-86.261678,123 mi,AL,7638.0,2 hours 7 mins,33.7756178,-84.396285,4035.0,2170.0,1829.0,10.0,6.0,13.0,12.0,976.0,182.0,221.0,256.0,107.0,38.0,5.0,496.0,1498.0,93.0,0.0,17.0,42.6,42.1,44.1,37835.0,20093.0,817.0,79700.0,,,,
432,"ALSTON, GA",GTECH,"SAVANNAH, GA",81.6005097286087,1,ALSTON,32.078922,-82.490792,98.7 mi,GA,5963.0,1 hour 39 mins,32.0835,-81.0998,84.0,71.0,5.0,0.0,8.0,0.0,0.0,15.0,1.0,5.0,0.0,3.0,1.0,0.0,13.0,42.0,1.0,0.0,0.0,39.6,45.5,38.7,,28095.0,,,,,,
455,"ALTO, GA",GTECH,"ATLANTA, GA",66.0903304718049,1,ALTO,34.444855,-83.570701,71.5 mi,GA,5708.0,1 hour 35 mins,33.7756178,-84.396285,8486.0,7390.0,710.0,0.0,106.0,1141.0,117.0,1515.0,653.0,349.0,341.0,241.0,62.0,49.0,1289.0,3130.0,238.0,15.0,48.0,38.5,38.2,38.6,35498.0,15214.0,598.0,99300.0,,,,
473,"ALTOONA, AL",GTECH,"ATLANTA, GA",111.65004669356,1,ALTOONA,34.052385,-86.310738,142 mi,AL,9564.0,2 hours 39 mins,33.7756178,-84.396285,7185.0,6727.0,91.0,118.0,0.0,537.0,134.0,1412.0,353.0,396.0,340.0,104.0,3.0,5.0,1586.0,2954.0,218.0,24.0,2.0,42.6,39.6,45.7,35571.0,17637.0,551.0,77500.0,,,,
530,"AMBROSE, GA",GTECH,"SAVANNAH, GA",118.799040833396,1,AMBROSE,31.545696,-83.018356,141 mi,GA,10017.0,2 hours 47 mins,32.0835,-81.0998,2744.0,2502.0,181.0,5.0,0.0,139.0,2.0,550.0,111.0,195.0,219.0,72.0,7.0,47.0,519.0,1302.0,66.0,68.0,0.0,31.3,31.3,31.4,48889.0,22635.0,400.0,83200.0,,,,
542,"AMERICUS, GA",GTECH,"ATLANTA, GA",117.480008293242,1,AMERICUS,32.077554,-84.2169885,152 mi,GA,8993.0,2 hours 30 mins,33.7756178,-84.396285,25977.0,10154.0,14114.0,59.0,417.0,1404.0,529.0,4096.0,887.0,1080.0,1531.0,1002.0,362.0,290.0,8493.0,11096.0,1728.0,77.0,72.0,32.55,30.45,35.2,31612.0,16681.5,605.5,83400.0,1.36,13.35,0.047,0.84
600,"ANDALUSIA, AL",GTECH,"ATLANTA, GA",214.298538348389,1,ANDALUSIA,31.248565,-86.5360025,,AL,,,33.7756178,-84.396285,19708.0,16262.0,2967.0,79.0,90.0,288.0,190.0,3620.0,842.0,1311.0,1594.0,574.0,243.0,38.0,3651.0,8578.0,763.0,256.0,36.0,41.9,39.8,45.2,39673.0,23012.5,602.5,111400.0,0.92,4.84,0.053,0.23
607,"ANDERSON, SC",GTECH,"ATLANTA, GA",109.587265207959,1,ANDERSON,34.48962875,-82.6878945,118 mi,SC,7586.0,2 hours 6 mins,33.7756178,-84.396285,97114.0,70258.0,22925.0,358.0,1172.0,3737.0,1156.0,16535.0,3379.0,6763.0,8675.0,3641.0,794.0,613.0,17316.0,46210.0,4495.0,1309.0,240.0,40.925,39.5,42.325,38954.0,20926.25,688.5,119375.0,4.6,8.57,0.031,1.22
609,"ANDERSONVILLE, GA",GTECH,"ATLANTA, GA",110.28811217004,1,ANDERSONVILLE,32.190998,-84.13023,143 mi,GA,8461.0,2 hours 21 mins,33.7756178,-84.396285,937.0,718.0,207.0,0.0,0.0,138.0,1.0,143.0,24.0,90.0,77.0,31.0,0.0,0.0,243.0,528.0,97.0,0.0,0.0,46.4,48.7,45.9,34200.0,15192.0,,76000.0,,,,
627,"ANDREWS, NC",GTECH,"ATLANTA, GA",103.59525068999,1,ANDREWS,35.198079,-83.810349,132 mi,NC,8911.0,2 hours 29 mins,33.7756178,-84.396285,5462.0,4871.0,112.0,22.0,49.0,234.0,22.0,986.0,240.0,315.0,506.0,161.0,56.0,15.0,970.0,2303.0,249.0,16.0,3.0,43.8,45.5,41.6,29124.0,16129.0,557.0,104900.0,,,,
628,"ANDREWS, SC",GTECH,"SAVANNAH, GA",128.117250285596,1,ANDREWS,33.454312,-79.613121,175 mi,SC,10119.0,2 hours 49 mins,32.0835,-81.0998,11121.0,5772.0,5160.0,0.0,0.0,263.0,94.0,2609.0,312.0,409.0,489.0,135.0,20.0,0.0,3528.0,4651.0,510.0,42.0,42.0,37.0,31.0,41.8,33177.0,17419.0,654.0,78200.0,0.46,0.78,0.063,0.02
672,"ANNISTON, AL",GTECH,"ATLANTA, GA",80.9279897585127,1,ANNISTON,33.69503225,-85.798405,97.5 mi,AL,6446.0,1 hour 47 mins,33.7756178,-84.396285,51822.0,32167.0,17133.0,127.0,415.0,1802.0,565.0,8911.0,2122.0,2085.0,3623.0,1840.0,328.0,335.0,12692.0,22986.0,3278.0,406.0,112.0,42.1,41.4,43.125,43331.25,23361.75,636.75,139150.0,3.68,4.48,0.051,0.83
734,"APPLING, GA",GTECH,"ATLANTA, GA",121.37220466429,1,APPLING,33.601364,-82.299939,135 mi,GA,7735.0,2 hours 9 mins,33.7756178,-84.396285,5625.0,4085.0,1316.0,10.0,95.0,105.0,36.0,1119.0,137.0,278.0,781.0,205.0,124.0,6.0,907.0,2652.0,243.0,99.0,27.0,47.7,47.1,49.2,64125.0,27888.0,622.0,172700.0,0.68,2.92,0.05,0.1
743,"ARABI, GA",GTECH,"ATLANTA, GA",139.609580230678,1,ARABI,31.834992,-83.707348,153 mi,GA,8221.0,2 hours 17 mins,33.7756178,-84.396285,1024.0,859.0,149.0,0.0,16.0,0.0,29.0,283.0,66.0,56.0,73.0,16.0,16.0,5.0,209.0,521.0,91.0,0.0,0.0,51.2,52.2,50.3,46037.0,21419.0,517.0,68500.0,,,,
745,"ARAGON, GA",GTECH,"ATLANTA, GA",43.5849214667993,1,ARAGON,34.087138,-85.056489,56.7 mi,GA,5464.0,1 hour 31 mins,33.7756178,-84.396285,3687.0,3408.0,261.0,0.0,0.0,86.0,67.0,807.0,330.0,148.0,164.0,49.0,31.0,0.0,823.0,1713.0,98.0,16.0,15.0,44.0,41.7,46.7,38556.0,20023.0,749.0,87100.0,,,,
818,"ARGYLE, GA",GTECH,"SAVANNAH, GA",114.578902292272,1,ARGYLE,31.074434,-82.644004,143 mi,GA,8747.0,2 hours 26 mins,32.0835,-81.0998,77.0,36.0,41.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,5.0,2.0,0.0,0.0,13.0,39.0,10.0,0.0,0.0,52.2,53.4,38.5,38750.0,16318.0,,,,,,
830,"ARITON, AL",GTECH,"ATLANTA, GA",167.0860918998,1,ARITON,31.609777,-85.685655,190 mi,AL,11594.0,3 hours 13 mins,33.7756178,-84.396285,2723.0,2394.0,252.0,2.0,0.0,30.0,43.0,424.0,146.0,166.0,103.0,75.0,9.0,4.0,490.0,996.0,76.0,6.0,0.0,42.4,46.2,40.1,39063.0,19100.0,607.0,90500.0,,,,
846,"ARLINGTON, AL",GTECH,"ATLANTA, GA",217.836067219703,1,ARLINGTON,32.094921,-87.571497,,AL,,,33.7756178,-84.396285,409.0,169.0,240.0,0.0,0.0,0.0,0.0,103.0,16.0,32.0,21.0,0.0,0.0,0.0,133.0,169.0,70.0,0.0,0.0,31.4,25.6,58.2,22031.0,8591.0,,89200.0,,,,
849,"ARLINGTON, GA",GTECH,"ATLANTA, GA",162.972501545409,1,ARLINGTON,31.423156,-84.684305,193 mi,GA,11203.0,3 hours 7 mins,33.7756178,-84.396285,1936.0,584.0,1352.0,0.0,0.0,22.0,45.0,449.0,30.0,38.0,91.0,64.0,6.0,2.0,632.0,800.0,142.0,12.0,5.0,44.6,39.1,44.9,23497.0,22256.0,558.0,59600.0,,,,
883,"ARMUCHEE, GA",GTECH,"ATLANTA, GA",63.4860034595902,1,ARMUCHEE,34.432548,-85.172442,75.7 mi,GA,6241.0,1 hour 44 mins,33.7756178,-84.396285,2085.0,1996.0,8.0,0.0,0.0,0.0,11.0,419.0,123.0,92.0,199.0,44.0,16.0,0.0,46.0,1124.0,88.0,33.0,0.0,47.0,38.3,49.5,75000.0,33168.0,743.0,145200.0,,,,
896,"ARNOLDSVILLE, GA",GTECH,"ATLANTA, GA",66.4795766383576,1,ARNOLDSVILLE,33.855811,-83.244694,83.5 mi,GA,6274.0,1 hour 45 mins,33.7756178,-84.396285,1254.0,1103.0,39.0,1.0,0.0,104.0,97.0,208.0,66.0,51.0,125.0,122.0,13.0,6.0,166.0,708.0,5.0,35.0,1.0,39.6,37.2,43.5,42409.0,23118.0,813.0,162000.0,,,,
950,"ASHBURN, GA",GTECH,"ATLANTA, GA",147.420988725536,1,ASHBURN,31.72025,-83.693961,164 mi,GA,8847.0,2 hours 27 mins,33.7756178,-84.396285,5965.0,2715.0,3068.0,0.0,96.0,283.0,98.0,1309.0,212.0,267.0,221.0,43.0,78.0,17.0,1586.0,2438.0,333.0,25.0,11.0,37.9,35.4,45.2,29191.0,18299.0,585.0,73800.0,,,,
965,"ASHFORD, AL",GTECH,"ATLANTA, GA",186.07960267825,1,ASHFORD,31.170833,-85.236826,222 mi,AL,12736.0,3 hours 32 mins,33.7756178,-84.396285,6707.0,5585.0,849.0,31.0,27.0,69.0,61.0,1567.0,326.0,333.0,448.0,146.0,9.0,24.0,1145.0,2965.0,196.0,62.0,16.0,42.0,41.8,42.1,40456.0,20701.0,662.0,89000.0,0.23,12.81,0.021,0.06
973,"ASHLAND, AL",GTECH,"ATLANTA, GA",93.3709295224034,1,ASHLAND,33.222279,-85.872376,112 mi,AL,7464.0,2 hours 4 mins,33.7756178,-84.396285,5164.0,4226.0,640.0,40.0,0.0,217.0,25.0,960.0,208.0,376.0,189.0,91.0,32.0,27.0,1254.0,2109.0,180.0,13.0,0.0,43.0,43.1,42.8,27170.0,16884.0,430.0,82200.0,,,,
1010,"ASHVILLE, AL",GTECH,"ATLANTA, GA",105.529752265445,1,ASHVILLE,33.809618,-86.229742,136 mi,AL,8174.0,2 hours 16 mins,33.7756178,-84.396285,7066.0,5981.0,775.0,59.0,38.0,220.0,63.0,1370.0,305.0,433.0,350.0,104.0,0.0,24.0,1869.0,2715.0,197.0,40.0,22.0,38.5,41.2,36.1,37750.0,19342.0,620.0,87300.0,,,,
1042,"ATHENS, GA",GTECH,"ATLANTA, GA",59.6126954948994,1,ATHENS,33.9589873333333,-83.3830048333333,70.0 mi,GA,6013.0,1 hour 40 mins,33.7756178,-84.396285,120952.0,79691.0,31036.0,229.0,5350.0,12845.0,919.0,11318.0,2508.0,3693.0,12983.0,7695.0,1725.0,3606.0,40658.0,59334.0,5388.0,1781.0,1079.0,25.3166666666667,24.6,26.05,34224.25,13672.6666666667,769.0,143325.0,37.53,16.45,0.028,16.58
1067,"ATLANTA, GA",GTECH,"ATLANTA, GA",1.66719465711625,1,ATLANTA,33.7976118,-84.38422475,2.2 mi,GA,1057.0,18 mins,33.7756178,-84.396285,950416.0,424542.0,426685.0,4222.0,49200.0,97430.0,6481.0,102863.0,15021.0,33864.0,181339.0,86542.0,28694.0,14367.0,188146.0,524821.0,51908.0,26005.0,10710.0,33.0153846153846,32.8179487179487,33.3435897435898,55902.3243243243,36804.9487179487,1026.97297297297,260986.111111111,859.33,20.67,0.031,532.49
1091,"ATMORE, AL",GTECH,"ATLANTA, GA",256.009472768791,1,ATMORE,31.147733,-87.494821,,AL,,,33.7756178,-84.396285,18632.0,10059.0,6996.0,950.0,34.0,245.0,190.0,4011.0,1455.0,755.0,821.0,210.0,128.0,70.0,4100.0,6772.0,1070.0,97.0,3.0,38.9,38.0,39.7,31612.0,15644.0,557.0,99300.0,1.38,181.96,0.036,8.96
1095,"ATTALLA, AL",GTECH,"ATLANTA, GA",97.8585876211956,1,ATTALLA,34.089754,-86.057449,132 mi,AL,8949.0,2 hours 29 mins,33.7756178,-84.396285,11982.0,10406.0,1223.0,19.0,8.0,463.0,136.0,2486.0,590.0,726.0,497.0,289.0,52.0,16.0,2043.0,5277.0,592.0,24.0,12.0,41.9,41.3,44.0,37333.0,18603.0,619.0,75900.0,0.92,2.97,0.041,0.11
1096,"ATTAPULGUS, GA",GTECH,"ATLANTA, GA",209.320674598616,1,ATTAPULGUS,30.73885,-84.490698,,GA,,,33.7756178,-84.396285,2147.0,322.0,1611.0,15.0,0.0,249.0,31.0,419.0,64.0,75.0,55.0,18.0,18.0,4.0,914.0,637.0,35.0,0.0,0.0,32.4,21.5,38.0,22917.0,11655.0,673.0,69200.0,,,,
1123,"AUBURN UNIVERSITY, AL",GTECH,"ATLANTA, GA",102.632500613645,1,AUBURN UNIVERSITY,32.60242,-85.487341,113 mi,AL,7107.0,1 hour 58 mins,33.7756178,-84.396285,3539.0,3118.0,203.0,10.0,161.0,137.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,125.0,0.0,11.0,19.4,19.3,19.4,,2047.0,,,,,,
1124,"AUBURN, AL",GTECH,"ATLANTA, GA",106.749993761095,1,AUBURN,32.5609335,-85.5392915,119 mi,AL,6805.0,1 hour 53 mins,33.7756178,-84.396285,60814.0,41754.0,13250.0,67.0,4166.0,2669.0,186.0,3875.0,720.0,1755.0,8976.0,4452.0,985.0,2285.0,19136.0,31630.0,2165.0,1362.0,640.0,25.95,24.95,27.45,36586.5,24885.0,807.5,168150.0,8.96,7.91,0.041,2.87
1126,"AUBURN, GA",GTECH,"ATLANTA, GA",36.2770607220013,1,AUBURN,34.019859,-83.837163,39.8 mi,GA,4261.0,1 hour 11 mins,33.7756178,-84.396285,14600.0,11407.0,1986.0,166.0,556.0,1441.0,44.0,2639.0,839.0,737.0,1288.0,512.0,98.0,20.0,1985.0,7895.0,713.0,116.0,71.0,35.9,34.4,37.3,57063.0,22805.0,970.0,118600.0,2.73,19.55,0.046,2.4
1153,"AUGUSTA, GA",GTECH,"ATLANTA, GA",137.093568813219,1,AUGUSTA,33.45404275,-82.050006125,148 mi,GA,8300.0,2 hours 18 mins,33.7756178,-84.396285,203143.0,99304.0,91201.0,407.0,5235.0,8138.0,1416.0,32725.0,6877.0,10984.0,19559.0,7328.0,3104.0,2205.0,44172.0,96506.0,9582.0,2751.0,1034.0,32.9375,37.3125,32.05,47191.0,21770.75,831.666666666667,118100.0,27.98,13.86,0.037,13.82
